file_name,-E2_0_queueing_length_avg,-E2_0_queueing_length_experimental_avg,-E2_0_queueing_time_avg,-E2_1_queueing_length_avg,-E2_1_queueing_length_experimental_avg,-E2_1_queueing_time_avg,-E3_0_queueing_length_avg,-E3_0_queueing_length_experimental_avg,-E3_0_queueing_time_avg,-E4_0_queueing_length_avg,-E4_0_queueing_length_experimental_avg,-E4_0_queueing_time_avg,-E4_1_queueing_length_avg,-E4_1_queueing_length_experimental_avg,-E4_1_queueing_time_avg,-E4_2_queueing_length_avg,-E4_2_queueing_length_experimental_avg,-E4_2_queueing_time_avg,-E5_0_queueing_length_avg,-E5_0_queueing_length_experimental_avg,-E5_0_queueing_time_avg,-E5_1_queueing_length_avg,-E5_1_queueing_length_experimental_avg,-E5_1_queueing_time_avg,-E5_2_queueing_length_avg,-E5_2_queueing_length_experimental_avg,-E5_2_queueing_time_avg,E0_0_queueing_length_avg,E0_0_queueing_length_experimental_avg,E0_0_queueing_time_avg,E0_1_queueing_length_avg,E0_1_queueing_length_experimental_avg,E0_1_queueing_time_avg,E0_2_queueing_length_avg,E0_2_queueing_length_experimental_avg,E0_2_queueing_time_avg,E0_3_queueing_length_avg,E0_3_queueing_length_experimental_avg,E0_3_queueing_time_avg,NE0_0_queueing_length_avg,NE0_0_queueing_length_experimental_avg,NE0_0_queueing_time_avg,NE0_1_queueing_length_avg,NE0_1_queueing_length_experimental_avg,NE0_1_queueing_time_avg
queue_19.xml,5.536624203821656,5.695191082802547,9.9921974522293,6.282317148125384,6.835439459127228,13.7940381069453,5.886232481450948,5.9981286067600985,19.668095630667768,5.632183908045977,5.994597701149425,10.732183908045977,6.541486338797815,6.813284153005465,24.39726775956284,6.929239940387482,7.526900149031297,16.998211624441133,5.491496598639456,5.660969387755102,9.970748299319729,5.828571428571428,5.9973214285714285,13.26,5.641791044776119,5.994701492537313,5.9708955223880595,6.696840390879478,8.11254071661238,8.829641693811075,5.733333333333333,5.996037037037037,8.655740740740741,5.342465753424658,5.99027397260274,2.9383561643835616,6.9701360544217685,7.5586470143613,13.593801965230536,9.142493617021277,9.514714893617022,20.87676595744681,6.2250657894736845,6.672434210526316,15.991729323308272
queue_190.xml,9.06131378935939,9.89770901194354,13.088599348534203,7.410863764044944,7.992219101123595,18.65554775280899,5.464023494860499,5.9419530102790015,12.32114537444934,6.7005,7.537989795918367,19.23673469387755,5.795252225519288,5.996706231454006,16.678189910979228,5.775280898876405,6.20063670411985,17.331460674157302,5.81431334622824,5.997195357833656,18.98588007736944,5.882926829268293,5.99840243902439,20.81158536585366,8.699856115107915,9.02484412470024,37.0396482813749,5.295572916666667,5.486552083333334,10.853541666666667,5.828056872037915,5.99224644549763,17.264360189573463,5.746031746031746,5.995978835978836,8.714814814814813,5.992302236770321,6.356213857064922,29.674358974358974,8.489687162891046,8.974045307443367,26.039590075512407,5.675675675675675,5.995283783783784,13.254594594594595
queue_191.xml,5.8657342657342655,5.997951048951049,25.744055944055944,6.921351351351351,7.245625889046942,23.527382645803698,5.826280623608018,5.99652561247216,24.18229398663697,5.768395657418576,5.99599517490953,12.289505428226779,5.8692240627724495,5.99768962510898,23.87846556233653,5.883977900552487,6.04932044198895,24.28795580110497,5.586206896551724,5.993706896551724,5.074137931034483,8.786737841043891,9.374905100830368,20.21482799525504,5.786350148367952,5.996617210682492,11.66112759643917,5.76678445229682,5.99603062426384,10.605771495877502,5.8474576271186445,5.997474576271187,18.424406779661016,,,,6.718060377358491,7.656249056603774,13.090641509433961,6.4317440225035165,6.976933895921238,25.03459915611814,10.348101449275362,11.041500000000001,22.483840579710144
queue_192.xml,6.896243016759777,7.243449720670392,21.206564245810057,8.861027777777776,9.98836111111111,8.681111111111111,5.860058309037901,5.997920310981535,21.112925170068028,5.803547066848568,5.997025920873123,12.400954979536152,5.780320366132723,5.996750572082379,16.53157894736842,8.599410912602607,9.147358763882183,26.584886528247225,5.493975903614458,5.990843373493976,3.5253012048192773,7.009958368026644,7.382781015820149,20.31240632805995,7.995008635578583,8.68135578583765,16.611312607944733,5.779141104294479,5.9967791411042946,13.05552147239264,5.85809312638581,5.997856614929786,20.883739837398373,5.743718592964824,5.9950502512562815,9.912311557788945,7.644868154158215,8.621643002028398,7.967139959432049,5.939470365699874,5.999092055485498,38.90353089533417,6.50852251109702,6.857590361445784,28.93861762840837
queue_193.xml,5.893129770992366,5.998066157760814,19.005343511450384,6.858122529644269,7.307845849802371,18.23181818181818,5.729577464788733,5.996112676056338,8.309859154929578,5.385159010600707,6.509787985865724,4.47243816254417,5.819379115710254,5.997206020696143,17.104985888993415,7.707439264609324,8.001254103742614,27.16677609980302,5.456721915285451,5.6401841620626145,11.915285451197054,5.708502024291498,5.99582995951417,10.432388663967613,5.8441558441558445,5.9975324675324675,14.659090909090908,5.721023181454836,5.8480655475619505,16.480735411670665,5.8893159108378175,5.998401229823213,25.26218293620292,5.2835820895522385,5.989626865671642,4.433582089552239,6.503675595238096,7.099791666666667,15.753125,5.807392996108949,5.996789883268482,16.26906614785992,5.780898876404494,5.9954775280898875,13.51193820224719
queue_194.xml,6.937386554621849,7.314100840336135,23.34285714285714,7.5962656147271534,7.8902103879026955,24.8456936226167,7.06476821192053,7.551611479028698,17.839514348785872,5.5636363636363635,5.991606060606061,6.653939393939394,7.612739307535642,7.8690122199592665,24.875916496945013,6.975549983283183,7.2638248077566026,33.527214978268134,5.345454545454546,5.990454545454546,5.570454545454545,5.9046988749172735,5.9985506287226995,35.07001985440106,9.77385767790262,10.955480649188514,18.67677902621723,5.693290734824281,5.995143769968051,8.422044728434505,5.875259875259875,5.998170478170478,27.758264033264034,,,,11.577582037996546,12.53048359240069,24.717443868739206,8.867165149544864,9.825786736020806,14.254356306892069,7.2407709497206705,7.5141005586592176,34.096648044692735
queue_195.xml,10.062381284916201,10.84058659217877,20.356424581005587,5.915641476274165,5.998699472759227,34.06353251318102,5.855421686746988,5.9979819277108435,15.858433734939759,5.873278236914601,5.998025711662075,23.75169880624426,6.917472727272727,7.4313939393939386,17.509151515151515,11.00975768321513,11.65210401891253,28.388829787234044,7.66471238938053,8.475973451327434,15.455309734513275,6.22912380952381,6.504526984126984,26.685587301587304,5.8715753424657535,5.997748287671233,19.87277397260274,,,,5.907514450867052,5.998631984585741,25.205394990366088,5.698324022346369,5.9929608938547485,8.120111731843576,5.898501691638472,6.035886901884969,30.37380376993717,6.7806487695749444,7.417494407158837,13.504996271439225,11.999054744525548,12.65553284671533,28.54642335766423
queue_196.xml,5.8391105297580115,5.997181164159581,20.45997383911053,5.808383233532934,6.2270059880239526,19.96047904191617,5.738636363636363,5.995681818181818,9.57159090909091,5.196078431372549,5.299019607843137,17.205882352941178,5.787941787941788,5.995987525987526,11.245738045738046,7.32797124600639,7.564078807241747,39.0926517571885,5.531052631578947,5.715087719298245,11.226535087719299,5.854103343465046,5.997689969604863,15.708510638297874,7.959587020648968,8.417445427728614,21.0047197640118,5.5813953488372094,5.99031007751938,5.627906976744186,5.5227272727272725,5.690740740740741,16.287542087542086,5.753846153846154,5.996615384615384,9.014358974358974,5.871611982881598,5.997874465049929,16.864051355206847,,,,8.948311938382542,9.876572528883184,24.99724005134788
queue_197.xml,5.796943231441048,5.996790393013101,15.1,,,,5.870967741935484,5.998037634408602,17.857526881720432,5.812865497076023,5.997407407407407,13.647368421052633,5.168374655647383,5.268870523415978,17.505785123966945,7.6129659318637275,8.006558116232465,36.85190380761523,5.641791044776119,5.99410447761194,5.9708955223880595,5.882352941176471,5.99813725490196,19.65686274509804,5.538910505836576,5.635710116731517,16.82568093385214,5.755517826825128,5.9964516129032255,21.170797962648557,5.910946196660483,5.998664192949907,26.205194805194807,,,,5.809523809523809,5.997142857142857,17.08621031746032,6.62467225609756,7.29921493902439,13.98826219512195,6.447006688963211,6.7255574136008915,20.564046822742476
queue_198.xml,8.003054662379421,8.65983922829582,14.571221864951767,5.8782383419689115,5.998104490500864,20.90660621761658,8.060968366688186,9.150477727566171,19.63350548741123,5.736745886654479,5.996051188299817,11.368738574040218,6.027116676847892,6.309370800244349,37.933842394624314,6.606247569669476,6.896221646143876,26.346532728451066,3.75,5.951666666666667,0.5,5.888888888888889,5.998171296296296,28.984375,5.825484764542936,5.996876731301939,17.48213296398892,8.14473880597015,8.717798507462685,12.816169154228856,5.736762481089259,5.8478668683812405,18.383282904689864,5.801470588235294,5.995588235294117,12.763235294117647,7.448868335146899,7.929891186071817,16.379107725788902,5.825771324863884,5.997622504537206,13.911796733212341,12.873213296398891,13.910415512465374,17.443628808864265
