file_name,-E2_0_queueing_length_avg,-E2_0_queueing_length_experimental_avg,-E2_0_queueing_time_avg,-E2_1_queueing_length_avg,-E2_1_queueing_length_experimental_avg,-E2_1_queueing_time_avg,-E3_0_queueing_length_avg,-E3_0_queueing_length_experimental_avg,-E3_0_queueing_time_avg,-E4_0_queueing_length_avg,-E4_0_queueing_length_experimental_avg,-E4_0_queueing_time_avg,-E4_1_queueing_length_avg,-E4_1_queueing_length_experimental_avg,-E4_1_queueing_time_avg,-E4_2_queueing_length_avg,-E4_2_queueing_length_experimental_avg,-E4_2_queueing_time_avg,-E5_0_queueing_length_avg,-E5_0_queueing_length_experimental_avg,-E5_0_queueing_time_avg,-E5_1_queueing_length_avg,-E5_1_queueing_length_experimental_avg,-E5_1_queueing_time_avg,-E5_2_queueing_length_avg,-E5_2_queueing_length_experimental_avg,-E5_2_queueing_time_avg,:Junc0_15_0_queueing_length_avg,:Junc0_15_0_queueing_length_experimental_avg,:Junc0_15_0_queueing_time_avg,:Junc0_16_0_queueing_length_avg,:Junc0_16_0_queueing_length_experimental_avg,:Junc0_16_0_queueing_time_avg,:Junc0_4_0_queueing_length_avg,:Junc0_4_0_queueing_length_experimental_avg,:Junc0_4_0_queueing_time_avg,E0_0_queueing_length_avg,E0_0_queueing_length_experimental_avg,E0_0_queueing_time_avg,E0_1_queueing_length_avg,E0_1_queueing_length_experimental_avg,E0_1_queueing_time_avg,E0_2_queueing_length_avg,E0_2_queueing_length_experimental_avg,E0_2_queueing_time_avg,E0_3_queueing_length_avg,E0_3_queueing_length_experimental_avg,E0_3_queueing_time_avg,NE0_0_queueing_length_avg,NE0_0_queueing_length_experimental_avg,NE0_0_queueing_time_avg,NE0_1_queueing_length_avg,NE0_1_queueing_length_experimental_avg,NE0_1_queueing_time_avg
queue_173.xml,11.806218106995885,13.484477366255144,29.767037037037035,16.710703976435934,18.84883063328424,32.13181148748159,59.212230646448525,59.08018954509178,78.17956903431764,30.638847624249046,33.56722555980339,58.359612233752046,18.337612874385336,21.096289673670096,25.799329459097006,77.68658840792371,83.89991012472487,84.36702127659575,8.844916413373861,10.191238601823708,12.719072948328266,21.376759704844403,23.245142765479628,56.01421238370227,30.54919413919414,32.601346858269935,43.63248802479572,,,,,,,,,,17.847110694183865,20.92088555347092,25.67838649155722,11.190165333333335,11.997232,20.938826666666667,6.972762430939227,8.536132596685082,25.258195211786372,22.85614852675887,25.067886349969932,41.646963319302465,13.455214168039538,14.682116968698518,37.45951400329489,40.474775764775764,42.86483813483814,101.15746955746955
queue_174.xml,15.937110901071204,18.485526149968493,29.993698802772528,14.332916083916084,15.659594405594406,25.593216783216786,20.6493007518797,22.727180451127822,39.76417293233082,34.98901908023483,36.57058463796477,70.06061643835616,28.72111504995166,31.33902997099581,45.08362874637448,48.60593992858643,54.254952741020794,49.46872505776098,7.316999999999999,9.290811188811189,10.232517482517483,17.000129589632827,18.09537179882752,51.61561246528849,13.21012539184953,13.932798925212717,30.57590685176892,,,,,,,,,,12.260151515151515,14.299409090909093,17.801363636363636,8.623520260492041,9.334782923299565,40.275253256150506,9.504558823529413,10.1001369168357,36.27647058823529,16.37300549983824,18.20523131672598,33.268036234228404,10.218169563675062,11.249233770840723,26.76154664774743,19.910348284960424,21.801955145118736,38.3264907651715
queue_175.xml,11.138034615384615,11.91990576923077,68.35826923076922,25.98235,27.328436363636364,80.17929545454545,33.37029631122758,35.220354767184034,103.62682926829268,24.587487777359907,26.615772846934938,41.79225272658895,51.181425116279065,57.162824186046514,50.79631627906977,84.52399832635983,89.20933054393305,100.82803347280334,11.446209279368214,14.300157946692991,9.040967423494571,18.856459881129272,22.392132243684994,22.30055720653789,11.970952106174265,14.039469128678594,18.466301211771494,,,,0.0,5.06,0.0,,,,19.274763149297613,21.308712838941524,30.23632799738647,7.3353342070773255,8.918715596330275,22.65380078636959,23.546497835497835,24.839380952380953,30.456623376623376,41.82194748811247,46.146442009510025,92.39694025222245,13.931350372308312,15.050646005232442,73.63902193600322,39.148068833652005,41.62563203739112,106.52179732313574
queue_176.xml,43.18154775280899,45.09966853932585,93.79157303370786,28.16070877817319,30.53091933570581,54.40987544483986,36.27374157632581,39.0654175212423,56.6925871667155,13.828282387190685,15.370257156720038,26.926880155264435,14.999914004914006,17.299635544635546,22.344881244881243,62.46902520023442,69.50621996483689,118.14004688415707,13.856068515497554,15.272572050027188,24.6858075040783,15.008757584513146,16.000430511412887,63.52002311470673,22.236367141162514,25.029492882562277,34.151809015421115,,,,,,,,,,10.73648056923919,13.923355227148331,14.604707170224412,6.876591889559966,7.728731665228645,20.446937014667817,19.315443636363636,20.966174545454543,37.99214545454545,44.664103500107366,48.74239424522224,66.06390380073007,20.513298002445982,22.49406033428455,33.68145128414187,24.515511635320372,26.813614918712144,55.95218361491871
queue_177.xml,27.737144934561318,29.307188560349005,99.3841735336888,23.275693828844187,25.019665871121717,47.09573815206273,21.921415398801294,23.279967727063163,66.9255417242969,27.556010168584425,30.063989831415576,58.238158951030236,16.90480352552332,17.904039662137347,54.42019831068675,34.07973082099596,36.11159039928219,77.44840735755945,9.80400417101147,11.044911366006255,10.651929092805005,35.36049307036247,37.703046375266524,69.00263859275053,16.715450236966824,17.952542007755277,35.078500646273156,,,,,,,,,,9.274875912408758,10.173513381995134,39.890900243309005,10.48623629112662,11.22111665004985,37.52263210368893,11.475840957072485,12.268916256157636,39.39648135116116,24.027328939108596,26.37715317011927,36.97762084118016,20.116291370244355,22.13808536962573,40.4093411691927,36.76309953584322,39.29370551830841,70.7009283135637
queue_178.xml,53.65689801324503,55.94878145695364,109.57833112582782,15.327996239591727,17.282506043513294,34.82793446145581,14.08179902260232,15.174428833231522,43.152138057422114,13.460214168039538,15.260797364085667,29.47792421746293,17.753555992141454,20.50706286836935,22.236100196463653,26.343444598980064,27.578815484469168,94.52781641168289,12.799684563758388,14.623315436241612,18.04711409395973,53.996086167800456,57.33657142857143,114.40707482993197,14.457317927170868,16.496369047619048,26.90826330532213,,,,,,,,,,6.213076009501187,7.505688836104513,6.478266033254156,6.531613445378151,7.08635294117647,15.649467787114846,8.9959418729817,10.3916146393972,18.170075349838537,12.585541425818882,13.760793834296726,24.722736030828518,22.768333757961784,25.166777070063695,36.8951847133758,23.21642900856793,25.0303029375765,51.61441248470012
queue_179.xml,16.668541982418915,18.48217641709609,31.853652622006667,7.652926954732511,8.781815843621398,22.094547325102884,70.76636238846946,74.48684053992221,83.66026080988333,24.888005602240895,27.662610644257704,44.988207282913166,12.551599844297392,14.240443752432853,29.908252238224993,54.099758754863814,56.46467509727626,100.86527237354086,11.491014598540147,13.551036496350363,12.529343065693432,20.909686057248383,23.502745460141583,36.83551862111419,15.018662838392125,18.163769483182936,15.647990155865465,,,,,,,,,,15.548589519650653,17.35344541484716,26.611572052401748,8.302247752247753,8.854991674991675,28.211122211122213,8.099580764488286,8.938216193999178,23.856966707768187,23.825292361283903,25.903262005473998,47.873699925354565,10.840545774647888,11.587544014084507,31.192781690140844,24.96993122850891,26.564129415442324,67.15642388246327
queue_18.xml,15.09317354143441,16.48590486807878,25.41371237458194,14.024282828282828,16.19310707070707,27.080080808080808,33.137399365698954,35.145806294218104,75.78655769699927,20.26920724801812,22.564367685919215,27.17455643639109,15.587771739130433,19.350815217391304,14.097705314009662,57.296722951844906,61.118807588075875,68.52305607671461,7.962616747181964,9.35610305958132,11.949355877616748,16.747458375807,18.694770642201835,25.393306150186884,7.177899235267656,8.466464237516869,27.60323886639676,,,,,,,,,,7.118661971830986,7.803397887323944,21.706426056338028,7.9246570228651425,8.92563229118059,15.202473168455438,10.05131787675412,10.881214154972545,13.477303233679072,27.979551098376312,30.909300382043934,55.10324737344794,14.7535989010989,16.577727629513344,27.191483516483515,32.13343829590183,33.82081268812225,69.37344292660339
queue_180.xml,21.371282545805208,22.927428479588556,55.098296367727414,42.63915264669676,45.53977226097661,78.0443578169881,21.880512575612862,24.50688952562878,29.916491563196434,14.304226272352134,16.426086657496562,30.180949105914717,18.39249075785582,20.078327171903883,31.24930683918669,69.58489980607628,67.98669036845509,100.70534367593191,15.123451720310765,17.215183129855713,13.416204217536071,12.257763401109058,13.689560073937153,38.19763401109058,13.069573999265515,14.943389643775248,22.24858611825193,,,,,,,,,,10.340473411154345,11.848508430609598,18.15201037613489,7.709076923076924,8.443292307692307,17.082666666666665,8.13176778242678,9.534215481171547,9.695188284518828,14.490571428571428,17.47016402116402,18.896137566137565,26.82758373709711,28.96373499052033,74.57965030545607,15.7527899543379,17.196406392694062,34.582922374429224
queue_181.xml,14.354821364128473,16.576149404547095,24.49714904366655,12.682871820784909,13.967059120768063,89.29755768906855,62.34379192480239,63.48367656483658,104.00422986541336,49.3240755293604,51.86641999563414,94.23134686749617,34.07760199456029,35.79619371411302,108.69770323360532,90.89448222146969,95.74523129021335,126.77278699627497,10.40330383480826,12.300117994100294,11.95929203539823,10.252204024333176,12.277501169864296,16.166635470285446,12.09780662020906,13.19833275261324,96.42271777003485,,,,1.6666666666666667,5.025555555555556,0.044444444444444446,,,,18.861346749226005,19.865706914344685,44.9359133126935,7.813489711934156,8.74641975308642,17.83028806584362,37.659059071729956,40.36291772151899,51.26654008438818,61.26579468473163,64.95153378495743,89.52767066180301,16.723441074092488,18.343620089507706,27.566882148184984,66.93254898266768,70.57347776940468,100.1017709118312
