file_name,-E2_0_queueing_length_avg,-E2_0_queueing_length_experimental_avg,-E2_0_queueing_time_avg,-E2_1_queueing_length_avg,-E2_1_queueing_length_experimental_avg,-E2_1_queueing_time_avg,-E3_0_queueing_length_avg,-E3_0_queueing_length_experimental_avg,-E3_0_queueing_time_avg,-E4_0_queueing_length_avg,-E4_0_queueing_length_experimental_avg,-E4_0_queueing_time_avg,-E4_1_queueing_length_avg,-E4_1_queueing_length_experimental_avg,-E4_1_queueing_time_avg,-E4_2_queueing_length_avg,-E4_2_queueing_length_experimental_avg,-E4_2_queueing_time_avg,-E5_0_queueing_length_avg,-E5_0_queueing_length_experimental_avg,-E5_0_queueing_time_avg,-E5_1_queueing_length_avg,-E5_1_queueing_length_experimental_avg,-E5_1_queueing_time_avg,-E5_2_queueing_length_avg,-E5_2_queueing_length_experimental_avg,-E5_2_queueing_time_avg,:Junc0_14_0_queueing_length_avg,:Junc0_14_0_queueing_length_experimental_avg,:Junc0_14_0_queueing_time_avg,:Junc0_15_0_queueing_length_avg,:Junc0_15_0_queueing_length_experimental_avg,:Junc0_15_0_queueing_time_avg,:Junc0_16_0_queueing_length_avg,:Junc0_16_0_queueing_length_experimental_avg,:Junc0_16_0_queueing_time_avg,:Junc0_4_0_queueing_length_avg,:Junc0_4_0_queueing_length_experimental_avg,:Junc0_4_0_queueing_time_avg,E0_0_queueing_length_avg,E0_0_queueing_length_experimental_avg,E0_0_queueing_time_avg,E0_1_queueing_length_avg,E0_1_queueing_length_experimental_avg,E0_1_queueing_time_avg,E0_2_queueing_length_avg,E0_2_queueing_length_experimental_avg,E0_2_queueing_time_avg,E0_3_queueing_length_avg,E0_3_queueing_length_experimental_avg,E0_3_queueing_time_avg,E5_1_queueing_length_avg,E5_1_queueing_length_experimental_avg,E5_1_queueing_time_avg,NE0_0_queueing_length_avg,NE0_0_queueing_length_experimental_avg,NE0_0_queueing_time_avg,NE0_1_queueing_length_avg,NE0_1_queueing_length_experimental_avg,NE0_1_queueing_time_avg
queue_94.xml,12.275265091863517,15.725858267716534,12.381522309711286,15.290622509960158,16.86484561752988,37.89975099601593,85.68802523240373,79.53674103585658,131.79066401062417,27.83458762886598,29.056606185567013,87.05028865979382,50.78441221116546,53.63334457750043,47.5913813459268,79.47873724316233,86.9226983263029,98.77938495033337,7.270832157968971,8.897235543018336,6.682651622002821,10.518075396825397,12.898938492063492,10.650198412698412,10.959588091353996,12.322956769983687,30.32296084828711,,,,,,,,,,,,,9.981881324747011,11.515206991720332,18.91504139834407,7.876385669125395,9.263740779768177,13.334246575342467,64.40971582984659,66.20900278940029,101.54625174337518,72.72686890574214,77.98572860238353,106.46166034669557,,,,17.3289255526658,18.197082249674903,61.508598829648896,121.37259386115136,111.8094888683968,137.39017257278357
queue_95.xml,13.637571884984025,15.888748668796591,21.182481363152288,19.101397581792316,20.522805832147938,48.15103129445235,38.67913938492064,40.86255952380952,73.72834821428572,29.776702531645572,32.741974683544306,42.37408227848101,37.03575965447155,39.74716209349594,48.64814532520325,82.31810546204053,91.26753177602198,117.97428718653384,7.5993514328808445,9.617269984917044,5.936199095022624,7.828959835221421,9.804160659114315,12.655149330587024,14.59950959488273,16.552229329542765,43.770717839374555,,,,,,,,,,,,,13.195770833333333,14.878504166666668,23.730249999999998,8.954236323851203,10.493159737417942,25.119999999999997,24.419331117573744,26.287174906522644,31.524221022019113,43.021931773879146,45.16076803118908,73.21576998050682,,,,15.303780245934155,17.31476001586672,33.01146370487901,33.20782155797101,34.75979619565218,74.79916213768115
queue_96.xml,11.800298555377207,12.60109470304976,54.62215088282504,66.81588749655742,69.21801225557698,127.64354172404296,113.23592632283993,97.07258405894173,138.67923643670463,71.36762787822593,75.18920259619843,105.6878535002318,41.531912195837,42.5279001759015,105.99105834066256,53.71469652287223,55.68458747685344,126.78755229408134,12.987115987460816,16.491786833855798,7.1163009404388715,13.692283535217586,16.143203230148046,17.74297891431135,21.223572257690076,22.87371154962275,48.80734184561811,5.00590405904059,5.1002214022140215,13.10369003690037,,,,,,,,,,18.962479030754892,19.566781609195402,70.76809568188878,100.58079033007903,102.30895629939563,116.65820548582055,78.61825564666954,79.13022514746079,187.26915551719176,104.62944867710209,106.26576880454355,168.65229256129658,,,,24.15647238816844,24.877606003205596,128.46172227888678,89.19425658453696,92.47648399886718,138.78169073916737
queue_97.xml,18.16298708146586,19.358745056683365,51.55518059583443,18.972409208819712,20.841280804150454,33.75522049286641,56.54067282087697,56.80958459080419,105.44020947985086,18.869175,21.086925,35.824175000000004,32.09432409502262,37.29810237556561,26.69160067873303,77.46214968628622,85.77891395279356,88.95445174783387,9.95094304388422,11.931624649859945,10.894864612511672,10.61271844660194,13.07523700742433,16.427984009137635,22.416403318903317,24.739325396825397,29.000901875901874,,,,,,,,,,,,,6.780087623220154,7.130175246440307,20.95618838992333,9.733636363636364,11.721981132075472,9.095711835334477,52.41408112168252,55.63699549323986,73.00906359539309,64.96128563646268,69.29116397312511,96.7983112402397,,,,16.281210396039604,17.366386138613862,31.8875,97.68400721455458,95.92937578419073,104.71435069008783
queue_98.xml,12.249715204409739,15.558479559026182,14.101148369315572,8.671816326530612,10.316401360544218,11.944557823129252,55.09861375661376,58.229549206349205,106.17595767195768,22.99197935368043,24.2149236983842,59.477154398563734,18.801838429596074,20.557368818422045,32.21502453756135,78.06907622000979,82.97420107719928,106.29415700995594,10.715944881889763,12.863044619422572,11.222834645669291,9.542011952191235,10.780761952191236,18.878685258964143,10.582786151672163,11.705237870937353,54.18900141309468,,,,,,,0.0,5.05,0.0,62.38,0.0,54.1,18.276157148990983,19.60366251610133,48.757492486045514,5.79038895859473,6.155759096612297,15.92120451693852,21.387664184157078,22.914485443466486,27.472748815165875,48.77529116853066,54.63536251446201,63.28785190898573,,,,16.60306178010471,18.394148691099478,52.913591623036645,53.70297451434682,56.66222242024594,103.33085011584389
queue_99.xml,20.669642654566083,23.502821894498013,30.72024957458877,16.789963595631477,18.465060207224866,32.841164939792776,28.511443569553805,30.226572178477692,71.938031496063,12.383407766990292,13.839325242718445,21.040436893203886,13.51298272552783,14.908833013435702,28.500191938579654,42.27512724238632,44.163337505214855,119.65283687943261,8.74441450777202,10.871295336787565,15.719274611398964,15.528701616854482,17.177449779519844,46.22672709456149,17.358934837092733,19.948217418546367,26.435526315789474,,,,,,,,,,,,,15.181581302834411,17.48425161611139,16.344007956240677,7.9555334114888625,9.593892145369285,11.515240328253224,6.442993197278912,7.659064625850339,9.953061224489796,20.77132122905028,22.079768156424578,40.78491620111732,,,,13.094107142857142,14.886992296918768,27.41750700280112,42.121195856873825,44.40437853107345,74.37375235404896
