file_name,-E2_0_queueing_length_avg,-E2_0_queueing_length_experimental_avg,-E2_0_queueing_time_avg,-E2_1_queueing_length_avg,-E2_1_queueing_length_experimental_avg,-E2_1_queueing_time_avg,-E3_0_queueing_length_avg,-E3_0_queueing_length_experimental_avg,-E3_0_queueing_time_avg,-E4_0_queueing_length_avg,-E4_0_queueing_length_experimental_avg,-E4_0_queueing_time_avg,-E4_1_queueing_length_avg,-E4_1_queueing_length_experimental_avg,-E4_1_queueing_time_avg,-E4_2_queueing_length_avg,-E4_2_queueing_length_experimental_avg,-E4_2_queueing_time_avg,-E5_0_queueing_length_avg,-E5_0_queueing_length_experimental_avg,-E5_0_queueing_time_avg,-E5_1_queueing_length_avg,-E5_1_queueing_length_experimental_avg,-E5_1_queueing_time_avg,-E5_2_queueing_length_avg,-E5_2_queueing_length_experimental_avg,-E5_2_queueing_time_avg,:Junc0_16_0_queueing_length_avg,:Junc0_16_0_queueing_length_experimental_avg,:Junc0_16_0_queueing_time_avg,:Junc0_4_0_queueing_length_avg,:Junc0_4_0_queueing_length_experimental_avg,:Junc0_4_0_queueing_time_avg,E0_0_queueing_length_avg,E0_0_queueing_length_experimental_avg,E0_0_queueing_time_avg,E0_1_queueing_length_avg,E0_1_queueing_length_experimental_avg,E0_1_queueing_time_avg,E0_2_queueing_length_avg,E0_2_queueing_length_experimental_avg,E0_2_queueing_time_avg,E0_3_queueing_length_avg,E0_3_queueing_length_experimental_avg,E0_3_queueing_time_avg,NE0_0_queueing_length_avg,NE0_0_queueing_length_experimental_avg,NE0_0_queueing_time_avg,NE0_1_queueing_length_avg,NE0_1_queueing_length_experimental_avg,NE0_1_queueing_time_avg
queue_138.xml,8.60038775510204,9.811969387755102,22.727755102040817,28.170418508694368,31.10434718538167,33.347951665193044,25.901431697405435,28.66864020006252,32.243013441700526,12.882579419889503,14.241484806629833,24.006111878453037,15.631818723911747,17.356517590936196,36.79242695289207,21.900695414515642,23.678539325842696,37.323656240510175,7.398854489164086,8.075872033023737,23.99638802889577,13.77407486631016,14.578491978609625,34.38427807486631,11.929667896678968,13.666033210332102,16.96088560885609,,,,,,,10.130209312259717,11.034498077744553,23.18739854762922,8.637386138613863,9.376554455445545,26.704198019801982,11.581214017521901,12.957984981226534,21.180100125156446,18.234630691399662,19.996310286677907,32.815413153456994,18.365746644295303,20.81060402684564,31.363898210290827,14.97620658411356,15.974454847478103,34.4855028692238
queue_139.xml,12.826916026020106,14.076992903607334,37.44127735068007,19.541207153502235,21.459552906110282,35.23007451564828,19.589366391184573,21.73953418482344,33.87996493864263,11.890752242926157,13.642367149758455,24.909006211180124,9.21165313225058,10.061415313225059,30.491270301624127,23.029624498724026,25.759453153481587,33.513306598614655,12.757005405405405,16.060108108108107,13.900972972972973,14.338760249262052,15.66141357822237,25.9156444735979,20.64675375571522,23.089683213585893,27.374787720444157,,,,,,,11.578259557344063,13.111393360160966,20.349647887323943,8.34465306122449,8.944057142857142,28.747469387755103,7.083825396825397,7.338439153439153,24.764708994708997,16.836517006802723,18.842819727891158,30.618299319727893,26.83514192785334,29.017613837965698,36.267445298639856,12.566671061305208,13.88535596572182,27.083586025049442
queue_14.xml,14.857706339712918,16.388684210526318,34.29357057416268,21.5616785927251,23.291782945736433,35.31905187835421,17.603468568880963,19.69391885867142,28.4519393669193,14.540785250938887,15.992990781836804,38.2698190508706,26.190976089092697,28.51379299050115,36.73704552898788,20.457555269922878,22.044323907455013,46.99876606683805,8.753704103671707,10.717203023758099,9.6829373650108,14.960193434935523,16.93428487690504,28.112573270808912,15.79317166212534,17.741204359673024,21.241798365122616,,,,,,,13.599985652797706,15.67361549497848,14.617575322812053,8.440814702538841,9.289014778325123,25.9770367563471,8.798343898573693,9.532107765451665,16.475911251980982,13.50326857847672,15.037816836262719,22.75778600061671,15.187282458563537,16.62690953038674,29.672341160220995,22.884526123936816,24.984541312272174,38.7769744835966
queue_140.xml,17.781228441754916,19.83236006051437,25.832768532526476,16.936529263687856,18.568763373190684,27.23772813089994,13.987844139252635,15.661060364100926,27.47055253912488,16.225315973324864,17.901568751984758,36.721657669101305,16.668858461538463,18.245449230769232,41.73498461538462,18.00877927608233,19.515874142417793,41.43271823988645,10.514582914572864,12.252572864321607,11.283115577889449,21.002712818814175,22.90037760847963,33.07684663795959,16.771547794117648,18.813095588235296,26.017242647058822,,,,,,,10.998076009501187,12.898842042755346,21.79263657957245,12.831715529753266,14.034513788098694,42.1922206095791,17.37310583941606,18.344496350364963,34.60970802919708,12.123444802578565,13.676853344077356,24.168855761482675,8.46457548981944,8.824560122935075,33.40368805224741,16.37537705865357,18.28758740248483,28.998642010979488
queue_141.xml,12.657494829369183,14.036483971044468,39.454653567735264,18.303454027664767,20.515024410089502,27.072904800650935,21.463497239021823,22.91614514856692,37.99936891927426,12.335521051060017,13.745843535383697,29.946282472379817,18.125861929753736,20.749140088817118,21.654138070246265,18.64803735546991,20.256027275422472,35.66386006522384,10.12294888597641,11.753145478374835,13.69318479685452,14.344669332513073,15.454580129191017,34.00925868963396,18.94840971406189,20.912236584410497,30.46846846846847,,,,,,,16.135870044052865,17.974394273127754,26.5863436123348,7.032273983418871,7.924654559810502,26.07354915120411,10.500971822886715,11.361040828062103,27.457331799884994,16.9339625167336,18.845307898259705,27.35672690763052,17.262097560975608,19.445110694183864,34.51073170731708,14.90921601058551,16.148160767449554,30.126662256037047
queue_142.xml,16.437350896450788,18.282081961214782,26.4876326381266,19.76209237228831,21.43007697690693,33.996466060181945,14.511674876847291,16.439543215405283,23.194312583967758,13.641881227580711,15.42170585890793,21.795057791948985,14.640670906200318,16.62483942766296,26.07007949125596,28.086183491515676,30.621846419327007,40.68561978717285,10.6764030261348,12.604291609353508,17.84993122420908,15.758329163191549,17.138237420072283,30.798693355574088,12.185026656511805,12.984805788271133,32.56401370906322,,,,,,,12.238461191335741,14.57365974729242,17.818772563176896,6.863195840554592,7.341001733102253,25.739965337954942,10.29652642380708,11.228183683940482,23.16213442791175,21.02710790464241,23.04160602258469,30.789460476787955,19.11720359771055,20.834764240937584,38.74066503134369,16.184174364896077,17.713236143187068,32.101010392609695
queue_143.xml,13.579286926994907,15.482679117147708,26.3693039049236,15.002311522048364,16.680142247510666,29.8099573257468,8.457728321793605,8.906538081107813,33.44741180349489,17.110623156342182,18.795029498525075,29.960877581120943,14.192072829131652,15.404354186118892,32.25122938064114,20.34094574036511,22.283176977687628,37.31206896551724,6.408416389811739,7.559667774086379,11.685160575858252,11.861167408421775,12.829116740842176,23.865285861006505,17.022460443037975,18.594497626582278,28.76554588607595,,,,,,,15.965332656170645,19.456912138141192,21.057998984255967,7.40287456445993,7.748135888501743,22.114329268292682,6.841066202090593,7.244174216027874,20.25108013937282,24.68759481361426,26.896366288492704,31.242171799027556,17.227547576301617,19.506563734290843,30.545385996409333,14.531279795686718,15.567840522133938,35.461748013620884
queue_144.xml,17.217542016806725,19.218200280112043,33.30581232492997,13.979324068224889,14.981165508528113,43.916487681617184,20.2945518701482,23.28711714890614,25.018101623147494,16.94636432926829,19.10657393292683,26.10815548780488,16.095436893203885,18.060404008769183,28.581709990604445,20.62007282260414,22.39157588115351,51.618293038159045,6.476791630340018,6.976573670444639,12.998866608544029,10.093859289617486,10.710997267759563,28.24347677595628,15.755823348168436,17.69556316330024,26.900855871276956,,,,,,,13.671874640598045,15.60109833237493,20.430822311673374,10.334560351718626,11.228928856914468,28.10407673860911,12.201107986501688,12.634448818897637,29.195725534308213,20.266815346225826,22.348094198378043,35.6752027448534,14.32209963099631,16.129583025830257,25.481881918819187,12.449377901578458,13.991494893221914,22.90519962859796
queue_145.xml,13.850690750297737,15.803886462882096,21.760142913854704,11.710636363636365,13.988222727272728,18.384272727272727,15.564445897352076,17.206322327558027,28.831350114416477,12.83730632551528,14.57914001421464,19.94331911869225,15.274141652613828,16.42051602023609,38.70546374367622,20.176383108935127,22.552478580171357,28.21141370869033,8.287769156159069,9.683414161008729,10.289621726479147,16.94636577181208,18.8683322147651,30.31956375838926,12.412635546535228,13.568622789214265,29.247405044940564,,,,,,,10.781619506321494,12.13062612883805,16.07501505117399,7.563870671161507,7.930704872816427,39.78774134232302,12.556620253164557,13.3788776371308,30.615400843881858,19.64723023154216,22.462761031017912,25.30515508955876,12.879713524317122,14.833637574950034,23.489440373084612,21.73509342977697,23.985045207956603,32.791169379144065
queue_146.xml,14.500866873065014,16.495142758857927,29.735122119023046,16.53917930766239,18.0662816024893,28.057059509918318,9.73072748721982,11.552906016515927,24.202241447109714,14.54781443298969,15.699142268041236,30.758144329896908,11.596948585336172,12.542099178582292,28.733039245512625,18.890293621329736,20.839736753290584,40.56922038474519,11.626708203530633,13.618951194184838,9.524402907580477,22.095515653775323,24.51564456721915,30.690669122160834,12.602853700516352,14.38114974182444,24.496351118760757,,,,,,,10.251978798586572,11.571831566548882,19.770494699646644,10.935114312558722,12.348268086439084,28.823645474475413,11.41892282294676,12.254787453569953,25.201815930664466,13.9769038404287,15.464200654956832,33.891515331944035,12.659012016021363,13.806237650200266,30.091295060080107,11.152980694980695,12.238436293436294,29.79293436293436
